item_name,shop_name,city,address,price,rating,category,lat,lon
"Bánh mì sandwich, Kem đánh răng, Nước tăng lực, Khoai tây chiên, Nước suối, Kẹo cao su, Mì gói, Bút bi, Túi nylon, Muỗng nhựa, Pin sạc, Bánh quy, Bánh snack, Khăn ướt",G7 Mart,Quang Tri Province,"Đường Lý Thường Kiệt, Phường Đồng Hới",15,4.3,convenience,17.4798055,106.6199774
"Muối, Bàn chải, Sữa tươi, Giấy vệ sinh, Sữa chua, Trứng gà, Thịt heo, Sữa tắm, Trứng gà, Snack, Nước tương, Rau củ quả, Sữa chua, Dầu gội, Kem cạo râu, Bông tẩy trang, Đĩa sứ, Muỗng nĩa",Mường Thanh Quảng Trị Mart,Quang Tri Province,"Nguyễn Trãi, Phường Đông Hà",70,3.7,supermarket,16.8187141,107.1049202
"Cá hộp, Sốt cà chua, Giấy bọc thực phẩm, Nước tương, Thịt heo, Nước hoa mini, Bột ngọt, Bơ thực vật, Dầu ăn, Bột ngọt, Khẩu trang y tế, Sữa tắm",Bom Baby Shop,Quang Tri Province,"6, Đường 18 tháng 8, Phường Đồng Hới",200,3.7,supermarket,17.471,106.6199635
"Đường, Sữa tươi, Bông tẩy trang, Kem dưỡng da, Sốt cà chua, Ly thủy tinh, Bột giặt, Bông tẩy trang, Nước hoa mini, Thớt, Chảo chống dính, Cá hộp",CHỢ QUÂN ĐÀN,Quang Tri Province,Đường tỉnh 564,95,4.2,supermarket,17.1388538,106.8079438
"Ngũ cốc ăn sáng, Kem cạo râu, Cà phê hòa tan, Nước tương, Khăn giấy, Trứng gà, Sữa chua, Nước trái cây, Rau củ quả, Bột mì, Chảo chống dính, Nước mắm, Bột giặt, Trà túi lọc, Thớt, Kem dưỡng da, Bông tẩy trang, Sữa tắm, Trà túi lọc",WinMart,Quang Tri Province,"Đường Quách Xuân Kỳ, Phường Đồng Hới",45,3.8,supermarket,17.4655783,106.6262329
"Chảo chống dính, Bông tẩy trang, Kem cạo râu, Dầu ăn, Mì gói, Bột mì, Sữa tươi, Chảo chống dính, Snack, Ly thủy tinh",Chợ xã Hải Ninh,Quang Tri Province,Đường tỉnh 569,85,3.8,supermarket,17.3548455,106.7397595
"Trà túi lọc, Túi đựng rác, Rau củ quả, Khay nhựa, Túi đựng rác, Bột giặt, Sữa chua, Bột giặt, Snack, Gạo, Chảo chống dính, Giấy vệ sinh, Son dưỡng môi, Dầu ăn, Túi đựng rác",Hải Ninh mini,Quang Tri Province,Đường tỉnh 569,190,4.1,supermarket,17.3703747,106.726374
"Bút bi, Khăn giấy, Bóng đèn LED mini, Kem đánh răng, Bút bi, Găng tay nilon, Mì ly, Lăn khử mùi, Khoai tây chiên, Bàn chải đánh răng, Bóng đèn LED mini, Dầu gội, Nước tăng lực, Chai nước, Nước tăng lực, Cà phê lon, Lăn khử mùi, Bánh bao mini",WinMart+,Quang Tri Province,"Lê Duẩn, Tân Hợp",10,3.7,convenience,16.6309215,106.7404966
"Giấy bọc thực phẩm, Bơ thực vật, Nước rửa chén, Bông tẩy trang, Bàn chải, Sữa tắm, Cà phê hòa tan, Sữa tươi, Bột mì, Dao bếp, Bàn chải, Giấy vệ sinh",Chợ Diên Sanh,Quang Tri Province,"Đường tỉnh 582, thôn 1",135,3.6,supermarket,16.7070961,107.266555
"Chai nước, Nước suối, Găng tay nilon, Bút bi, Pin sạc, Kem đánh răng, Nước tăng lực, Sổ tay nhỏ, Mì gói, Dao cạo râu, Túi nylon, Thịt hộp, Mì ly, Bánh mì sandwich",Mini mart,Quang Tri Province,Quốc lộ 9G,10,3.6,convenience,17.6089718,106.3135886
"Kẹo, Nước suối, Trà đóng chai, Thịt hộp, Khăn ướt, Lăn khử mùi, Chai nước, Xà phòng tắm, Bánh quy, Khoai tây chiên, Trà đóng chai, Chai nước, Trà đóng chai, Bánh mì sandwich, Lăn khử mùi, Nước tăng lực, Dây sạc điện thoại, Chai nước",Mini mart,Quang Tri Province,Quốc lộ 9G,10,4.1,convenience,17.6095326,106.3129021
"Giấy vệ sinh, Dầu gội, Chảo chống dính, Dầu gội, Cá hộp, Túi đựng rác, Sữa tươi, Cá hộp, Khăn giấy, Trứng gà, Sốt cà chua, Bột ngọt, Khăn giấy",Kon Plong,Quang Ngai Province,Đường Lê Hồng Phong,75,3.9,supermarket,14.6014269,108.2896396
