shop_name,city,address,lat,lon,tiktok_url
Sun World Ba Na Hills,Da Nang,"Hòa Ninh, Hòa Vang, Đà Nẵng",15.996,107.996,https://www.tiktok.com/@marveatsmelb/video/7359631900803157265
Sky 36 Bar,Da Nang,"36 Bạch Đằng, Hải Châu, Đà Nẵng",16.072,108.224,https://www.tiktok.com/@gocnhoannhieu.dng/photo/7490529797416701192
Chợ Hàn,Da Nang,"119 Trần Phú, Hải Châu, Đà Nẵng",16.068,108.224,https://www.tiktok.com/@cogaibienkhoi/photo/7394414346027142408
Làng Nước Mắm Nam Ô,Da Nang,"Nam Ô, Liên Chiểu, Đà Nẵng",16.1,108.13,https://www.tiktok.com/@hoaithanh.luong/video/7263485319570345223
Hải Sản Khô / Ốc Ly Pé,Da Nang,"05 An Trung Đông 3, Sơn Trà, Đà Nẵng",16.06,108.235,https://www.tiktok.com/@oclype79/video/7574084388439313685
Chả Bò Bà Hường,Da Nang,"4 Hoàng Diệu, Hải Châu, Đà Nẵng",16.065,108.22,https://www.tiktok.com/@danangdidaudo43/photo/7355368416439536913
Mắm Dì Cẩn,Da Nang,"Lô 105 Chợ Hàn, Đà Nẵng",16.068,108.224,https://www.tiktok.com/@mamdican_dacsandanang/video/7479995560708115730
Bò Khô Hương Đà,Da Nang,"Ngã 3 Võ Văn Kiệt & Hồ Nghinh, Đà Nẵng",16.062,108.24,https://www.tiktok.com/@kenhcuatienn/video/7303157669710269698
Mực Rim Đà Nẵng,Da Nang,"70-72 Võ Văn Kiệt, Sơn Trà, Đà Nẵng",16.06,108.24,https://www.tiktok.com/@danangdidaudo43/photo/7356568808800242945
Bánh Dừa Nướng Thái Bình,Da Nang,"Đặc Sản Miền Trung, Đà Nẵng",16.054,108.202,https://www.tiktok.com/@kenhcuatienn/video/7381732871892913429
Bánh Khô Mè Bà Liễu,Da Nang,"Cẩm Lệ, Đà Nẵng",16.02,108.2,https://www.tiktok.com/@banhkhome1945/video/7561799983058603284
Đặc Sản Làm Quà,Da Nang,"23 An Thượng 26, Ngũ Hành Sơn, Đà Nẵng",16.05,108.245,https://www.tiktok.com/@dacsandananglamquahanigo/video/7398748757841497352
Dâu Ngọt Café 'n' Souvenir,Da Nang,"92 Dương Đình Nghệ, Sơn Trà, Đà Nẵng",16.065,108.238,https://www.tiktok.com/@daungot_handmade/video/7412605264009940241
Leaf Craft,Da Nang,"Online / Contact Shop, Đà Nẵng",16.054,108.202,https://www.tiktok.com/@leafcraft_lala/photo/7559234520864558354
ViGift - Đặc Sản Đà Nẵng,Da Nang,"70-72 Võ Văn Kiệt, Sơn Trà, Đà Nẵng",16.06,108.24,https://www.tiktok.com/@dacsandananglamquavigift/video/7490192996336504119
Bánh Xèo Bà Dưỡng,Da Nang,"K280/23 Hoàng Diệu, Hải Châu, Đà Nẵng",16.062,108.217,https://www.tiktok.com/tag/banhxeobaduong
Chè Sầu Liên,Da Nang,"189 Hoàng Diệu, Hải Châu, Đà Nẵng",16.06,108.218,https://www.tiktok.com/tag/cheliendanang
Cầu Rồng,Da Nang,"Sông Hàn, Hải Châu, Đà Nẵng",16.061,108.227,https://www.tiktok.com/tag/caurongdanang
Mỳ Quảng Ếch Bếp Trang,Da Nang,"441 Ông Ích Khiêm, Hải Châu, Đà Nẵng",16.068,108.212,https://www.tiktok.com/tag/myquangbeptrang
Phố Cổ Hội An,Quang Nam,"Phường Minh An, Hội An, Quảng Nam",15.88,108.338,https://www.tiktok.com/@alex_onthego/video/7254506620074446086
Thánh Địa Mỹ Sơn,Quang Nam,"Duy Phú, Duy Xuyên, Quảng Nam",15.79,108.107,https://www.tiktok.com/@vand.magazine/photo/7530881629598813448
