name	city	address	lat	lon	video_url	embed_url
Ch? Bách Hóa Cà Mau	Ca Mau Province	"6B, Ph??ng 7, Cà Mau, Vi?t Nam"	9.17655673	105.1471814	https://www.tiktok.com/@quankhonggo/video/7266662389343440135	https://www.tiktok.com/embed/7266662389343440135
C?m Ba Sâm	Ca Mau Province	"Hai Tháng Chín, TT. Cái N??c, Cái N??c, Cà Mau, Vi?t Nam"	8.940590768	105.0166497	https://www.tiktok.com/@truong_phi_thien/video/7288522492816248065	https://www.tiktok.com/embed/7288522492816248065
Ti?m s?a chua B?p Nhà Bông	Ca Mau Province	"64 Ngô Quy?n, Ph??ng 2, Cà Mau, Vi?t Nam"	9.180736516	105.1447808	https://www.tiktok.com/@berongcamau69/video/7524185380523101448	https://www.tiktok.com/embed/7524185380523101448
Ti?m Bánh C?a M?	Ca Mau Province	"78 ???ng Phan ?ình Phùng, Ph??ng 2, Cà Mau, 94000, Vi?t Nam"	9.181659851	105.1473907	https://www.tiktok.com/@berongcamau69/video/7421765602307788050	https://www.tiktok.com/embed/7421765602307788050
Bánh T?m Cay A Xi Giá	Ca Mau Province	"17 Lý Bôn, Ph??ng 4, Cà Mau, Vi?t Nam"	9.18379169	105.1496161	https://www.tiktok.com/@quangocamau/photo/7537714972047068424	https://www.tiktok.com/embed/7537714972047068424
?á ??u Ông Dú	Ca Mau Province	"2 Lê L?i, Ph??ng 2, Cà Mau, Vi?t Nam"	9.177450214	105.1461634	https://www.tiktok.com/@baduongvlog69.com/video/7363845207223192840	https://www.tiktok.com/embed/7363845207223192840
Quà l?u ni?m Hoàng V?	Ca Mau Province	"18 Nguy?n T?t Thành, Lý V?n Lâm, Cà Mau, Vi?t Nam"	9.157853199	105.1405868	https://www.tiktok.com/@heogiaushop/video/7524236456865434898	https://www.tiktok.com/embed/7524236456865434898
Ch? Nhà Ph?n	Ca Mau Province	"QL1A ?p S?, T?i, xã, Cái N??c, Cà Mau 98615, Vi?t Nam"	9.111214185	105.1003624	https://www.tiktok.com/@truong_phi_thien/video/7248407587819916549	https://www.tiktok.com/embed/7248407587819916549
"C?m t?m, Bánh t?m bì Dì L?"	Ca Mau Province	"Pham Van Ky, Ph??ng 5, Cà Mau, Vi?t Nam"	9.181223043	105.1494221	https://www.tiktok.com/@muoidatmui.camau/video/7395538980034448658	https://www.tiktok.com/embed/7395538980034448658
Bún th?t xào nem n??ng B?ng Tâm	Bac Lieu Province	"516 Võ Th? Sáu, Ph??ng 3, B?c Liêu, Vi?t Nam"	9.284300093	105.7214853	https://www.tiktok.com/@sayhihuy/video/7460477397159218440	https://www.tiktok.com/embed/7460477397159218440
Cà ri v?t c?u s? 4	Bac Lieu Province	"114 Hòa Bình, Ph??ng 7, B?c Liêu, Vi?t Nam"	9.288786185	105.7240177	https://www.tiktok.com/@thodianne/video/7398877688494099730	https://www.tiktok.com/embed/7398877688494099730
Vincom Plaza	Bac Lieu Province	"15 Tr?n Phú, Ph??ng 3, B?c Liêu, 990000, Vi?t Nam"	9.286857607	105.7215846	https://www.tiktok.com/@anhnhutbs/video/7434170274507001096	https://www.tiktok.com/embed/7434170274507001096
Ch? B?c Liêu	Bac Lieu Province	"Kios s? 10-11, C?a Nam ch?, 51 Hoàng V?n Th?, Ph??ng 3, B?c Liêu, Vi?t Nam"	9.285758786	105.7259125	https://www.tiktok.com/@quankhonggo/video/7268136151544810757	https://www.tiktok.com/embed/7268136151544810757
Bún bò cay Ánh Nguy?t	Bac Lieu Province	"119 Cao V?n L?u, Ph??ng 5, B?c Liêu, Vi?t Nam"	9.280571938	105.7272266	https://www.tiktok.com/@loanhquanhmientay/video/7443300237717916946	https://www.tiktok.com/embed/7443300237717916946
Bánh xèo A M?t	Bac Lieu Province	"173/2 ?p Gi?ng Nhãn, Hi?p Thành, B?c Liêu, Vi?t Nam"	9.235828086	105.7508092	https://www.tiktok.com/@mongo99/video/7482619357667921160	https://www.tiktok.com/embed/7482619357667921160
Ch? R?ch Giá	Kien Giang Province	"08 Lý Thái T?, V?nh Thanh, R?ch Giá, Kiên Giang, Vi?t Nam"	10.01790453	105.0811068	https://www.tiktok.com/@quankhonggo/video/7561294668760091912	https://www.tiktok.com/embed/7561294668760091912
Ch? bách hóa Gi?ng Ri?ng	Kien Giang Province	"256 ???ng Lê L?i, N?i Ô, Gi?ng Ri?ng, Kiên Giang, Vi?t Nam"	9.907985404	105.3135028	https://www.tiktok.com/@kiengiangcogihay/video/7494505876296879367	https://www.tiktok.com/embed/7494505876296879367
Ch? Sao Mai Tân Hi?p	Kien Giang Province	"TT. Tân Hi?p, Tân H?êp, Kiên Giang, Vi?t Nam"	10.11761847	105.2899064	https://www.tiktok.com/@imphuong01/video/7429547213950422289	https://www.tiktok.com/embed/7429547213950422289
Ch? Cá Hà Tiên	Kien Giang Province	"???ng Nguy?n Trung Tr?c, Pháo ?ài, Hà Tiên, Kiên Giang, Vi?t Nam"	10.3786019	104.4850459	https://www.tiktok.com/@muoi_kechuyen93/video/7523601796212739335	https://www.tiktok.com/embed/7523601796212739335
Quà l?u ni?m Hòn S?n	Kien Giang Province	"T? 8, Hòn S?n, Kiên Giang 924120, Vi?t Nam"	9.798616295	104.6311315	https://www.tiktok.com/@namdu.honson.booking/video/7441131354999246097	https://www.tiktok.com/embed/7441131354999246097
Bún cá 280	Kien Giang Province	"280 Nguy?n Trung Tr?c, Ph??ng V?nh B?o, R?ch Giá, Kiên Giang, Vi?t Nam"	9.999940678	105.0902067	https://www.tiktok.com/@chau_muoi/video/7275274856927677698	https://www.tiktok.com/embed/7275274856927677698
S?a ??u Nhà Sách ?ông H?	Kien Giang Province	"98b Tr?n Phú, V?nh Thanh, R?ch Giá, Kiên Giang, Vi?t Nam"	10.01350565	105.0829952	https://www.tiktok.com/@truongngoctrang1405/video/7519361871468645639	https://www.tiktok.com/embed/7519361871468645639
Ch? R?ch S?i	Kien Giang Province	"10/6, ???ng Mai Th? H?ng H?nh, R?ch S?i, R?ch Giá, Kiên Giang, Vi?t Nam"	9.9542029	105.1205051	https://www.tiktok.com/@longhoangphilosophy/video/7202480682591898907	https://www.tiktok.com/embed/7202480682591898907
Bánh canh gh? Phù Chí Tài	Kien Giang Province	"Lô 13-C12 3 Tháng 2, P. An Hoà, R?ch Giá, Kiên Giang, Vi?t Nam"	9.99688591	105.0846739	https://www.tiktok.com/@anuongrachgia68/video/7291885893206478082	https://www.tiktok.com/embed/7291885893206478082
Chùa Som Rong	Soc Trang Province	"367 Tôn ??c Th?ng, Ph??ng 5, Tp. Sóc Tr?ng, Sóc Tr?ng, Vi?t Nam"	9.622744961	105.9830606	https://www.tiktok.com/@quankhonggo/video/7263044118723464455	https://www.tiktok.com/embed/7263044118723464455
Ch? Sóc Tr?ng	Soc Trang Province	"M?c ??nh Chi, Ph??ng 9, Sóc Tr?ng, Vi?t Nam"	9.604284276	105.9764167	https://www.tiktok.com/@quankhonggo/video/7264164129403931922	https://www.tiktok.com/embed/7264164129403931922
Bún Riêu Cô T? Vi?t	Soc Trang Province	"266 ???ng 30/4, Ph??ng 2, Sóc Tr?ng, Vi?t Nam"	9.607301367	105.9642876	https://www.tiktok.com/@thodianne/video/7329836747733339399	https://www.tiktok.com/embed/7329836747733339399
H? Ti?u Kh?i ??ng	Soc Trang Province	"224 ???ng Lê H?ng Phong, Ph??ng 3, Sóc Tr?ng, Vi?t Nam"	9.591329004	105.9748001	https://www.tiktok.com/@dinhneha/video/7536082885380427015	https://www.tiktok.com/embed/7536082885380427015
Mì Anh Hào	Soc Trang Province	"443 ?T1, Ph??c L?i, Châu Thành, Sóc Tr?ng, Vi?t Nam"	9.685396784	105.9596319	https://www.tiktok.com/@qadq.133/video/7491901440911363346	https://www.tiktok.com/embed/7491901440911363346
Ch? M? Xuyên	Soc Trang Province	"29 Tr?ng V??ng, TT. M? Xuyên, M? Xuyên, Sóc Tr?ng, Vi?t Nam"	9.560283319	105.9899395	https://www.tiktok.com/@trieumythuykim/video/7534236211368463623	https://www.tiktok.com/embed/7534236211368463623
Ch? Bông Sen	Soc Trang Province	"166 ?i?n Biên Ph?, Ph??ng 6, Sóc Tr?ng, Vi?t Nam"	9.609670424	105.9711229	https://www.tiktok.com/@daydayreview/video/7562526407335660821	https://www.tiktok.com/embed/7562526407335660821
Lò bánh pía M? Anh	Soc Trang Province	"74, ?p Th? Hòa ?ông A, xã Phú Tâm, Phú Tâm, Châu Thành, Sóc Tr?ng, Vi?t Nam"	9.703908731	105.9643848	https://www.tiktok.com/@trieumythuykim/video/7547263397885119762	https://www.tiktok.com/embed/7547263397885119762
Ch? ?êm V? Thanh	Hau Giang Province	"70 Tr?ng Nh?, Ph??ng 1, V? Thanh, H?u Giang 95100, Vi?t Nam"	9.784311977	105.4681795	https://www.tiktok.com/@quankhonggo/video/7306051501020007682	https://www.tiktok.com/embed/7306051501020007682
Ch? Cái T?c	Hau Giang Province	"QL61, ?p Tân Phú, Châu Thành A, H?u Giang, Vi?t Nam"	9.923927398	105.723656	https://www.tiktok.com/@quioidithoi/video/7293389678764379400	https://www.tiktok.com/embed/7293389678764379400
Ch? V? Thanh	Hau Giang Province	"27 Nguy?n V?n Tr?i, Ph??ng 3, V? Thanh, H?u Giang, Vi?t Nam"	9.776722683	105.4600607	https://www.tiktok.com/@tungnuitravel/video/7423956540144536853	https://www.tiktok.com/embed/7423956540144536853
Bamboo Garden	Hau Giang Province	"Th?nh Hoà, Ph?ng Hi?p, H?u Giang, Vi?t Nam"	9.861274282	105.688712	https://www.tiktok.com/@khaikhampha/video/7237076268708072710	https://www.tiktok.com/embed/7237076268708072710
Quán C?m Ngo?i Thành	Hau Giang Province	"V? Trung, V? Thu?, H?u Giang, Vi?t Nam"	9.784783731	105.502403	https://www.tiktok.com/@nhaphuongoi15/video/7543063915219946760	https://www.tiktok.com/embed/7543063915219946760
Khu d? l?ch Mùa Xuân	Hau Giang Province	"236 Hoàng Hoa Thám, Tân Ph??c H?ng, Ph?ng Hi?p, H?u Giang, Vi?t Nam"	9.771954058	105.8383623	https://www.tiktok.com/@real_ct/video/7546220960366611733	https://www.tiktok.com/embed/7546220960366611733
Ch? Cái Kh?	Can Tho	"156 ?. Ung V?n Khiêm, Tân An, Ninh Ki?u, C?n Th? 901000, Vi?t Nam"	10.04591359	105.7832954	https://www.tiktok.com/@thodianne/video/7296690053391191303	https://www.tiktok.com/embed/7296690053391191303
