item_name,shop_name,city,address,price,rating,category,lat,lon
"Cà phê lon, Mì ly, Lăn khử mùi, Kẹo cao su, Cà phê lon, Bút bi, Bánh bao mini, Muỗng nhựa, Túi nylon, Bánh mì sandwich, Bánh snack",Circle K,Ho Chi Minh City,"Thăng Long, Phường Tân Sơn Nhất, Thủ Đức, 72106",15,4.5,convenience,10.8009338,106.6607181
"Bút bi, Dây sạc điện thoại, Khẩu trang y tế, Pin AA, Bút bi, Trà đóng chai, Bánh quy, Lăn khử mùi, Trà đóng chai, Nước suối, Dây sạc điện thoại, Chai nước, Muỗng nhựa, Mì ly, Bàn chải đánh răng, Chai nước",Cửa Hàng Gạo Chợ Đào,Ho Chi Minh City,"Lê Văn Linh, Phường Xóm Chiếu, Thủ Đức, 72806",20,3.6,convenience,10.7638846,106.7068074
"Bánh snack, Ô dù gấp, Dao cạo râu, Nước tăng lực, Sữa hộp, Bánh bao mini, Mì ly, Nước ngọt, Cốc nhựa, Cốc nhựa, Nước suối, Xà phòng tắm, Khoai tây chiên, Kẹo cao su, Sữa hộp, Bánh snack, Thịt hộp, Mì ly, Bánh quy, Khăn giấy",Cửa Hàng Thực Phẩm Vissan,Ho Chi Minh City,"Ðinh Lễ, Phường Xóm Chiếu, Thủ Đức, 72806",20,3.5,convenience,10.7639706,106.7058073
"Trứng gà, Dầu gội, Trứng gà, Nước tương, Bột giặt, Thịt heo, Đĩa sứ, Bột mì, Ngũ cốc ăn sáng, Bột giặt, Son dưỡng môi",Focomart,Ho Chi Minh City,"Lê Quốc Hưng, Phường Xóm Chiếu, Thủ Đức, 72806",135,4.2,supermarket,10.7652697,106.7028692
"Sữa tắm, Gạo, Đĩa sứ, Kem cạo râu, Nước lau sàn, Muối, Sữa tươi, Gạo, Bột mì, Kem cạo râu, Bơ thực vật, Kem dưỡng da, Bột mì, Sốt cà chua, Bơ thực vật, Mì gói, Khẩu trang y tế, Muỗng nĩa, Nước lau sàn",Cửa Hàng Tiện Lợi Shop&Go!,Ho Chi Minh City,"Hẻm 15 Nơ Trang Long, Phường Gia Định, Thành phố Hồ Chí Minh, 72317",55,4.1,supermarket,10.806477,106.6949172
"Chảo chống dính, Son dưỡng môi, Sữa tắm, Sữa tươi, Sữa tươi, Đĩa sứ, Bàn chải, Son dưỡng môi, Nước trái cây, Gạo, Sữa chua, Sốt cà chua, Nước hoa mini, Trứng gà, Rau củ quả, Khay nhựa, Mì gói, Đường, Nước xả vải",Focomart,Ho Chi Minh City,"Bạch Đằng, Phường Gia Định, Thành phố Hồ Chí Minh, 72317",135,4.1,supermarket,10.8036214,106.7012353
"Bột ngọt, Khẩu trang y tế, Son dưỡng môi, Chảo chống dính, Đĩa sứ, Rau củ quả, Thớt, Dầu ăn, Sốt cà chua, Khay nhựa, Nước xả vải, Nước lau sàn, Nước xả vải, Giấy vệ sinh, Son dưỡng môi, Nước hoa mini",Maximart,Ho Chi Minh City,"Đường 3 Tháng 2, Phường Vườn Lài, Thành phố Hồ Chí Minh, 70001",105,4.4,supermarket,10.7769187,106.6811112
"Nước xả vải, Bột ngọt, Nước mắm, Bột giặt, Trứng gà, Ly thủy tinh, Trứng gà, Rau củ quả, Bột ngọt, Son dưỡng môi, Son dưỡng môi, Nước tương, Nước tương, Ngũ cốc ăn sáng, Nước mắm, Giấy bọc thực phẩm, Bông tẩy trang",Siêu Thị Bình Hòa,Ho Chi Minh City,"Hẻm 292 Nơ Trang Long, Phường Bình Thạnh, Thành phố Hồ Chí Minh, 71400",110,3.5,supermarket,10.816301,106.6981233
"Thịt heo, Nước mắm, Sữa tươi, Bột mì, Dầu ăn, Dầu gội, Giấy bọc thực phẩm, Túi đựng rác, Nước rửa chén, Khẩu trang y tế, Túi đựng rác, Muỗng nĩa, Chảo chống dính, Snack, Bột giặt, Kem cạo râu, Túi đựng rác",Siêu Thị Mini Bình Minh,Ho Chi Minh City,"440, Nơ Trang Long, Phường Bình Lợi Trung, Thành phố Hồ Chí Minh, 72309",155,3.8,supermarket,10.8224451,106.7071706
"Nước tương, Nước rửa chén, Trứng gà, Túi đựng rác, Thịt heo, Giấy vệ sinh, Muỗng nĩa, Chảo chống dính, Sốt cà chua, Nước lau sàn, Thớt, Dao bếp, Trứng gà, Dầu gội, Dầu gội",Siêu Thị Mela,Ho Chi Minh City,"Đường Yết Kiêu, Phường An Đông, Thành phố Hồ Chí Minh, 72712",200,4.4,supermarket,10.7579255,106.6731127
