Túi vải thêu,Miu Miu Gift World,Tây Sơn,"Số 105 Đường Phan Bội Châu, Tây Sơn",50000,sứ,thời trang,13.938301,108.945873
Mắm nhum Mỹ An,Shop Diễm Thy,Tuy Phước,"Số 155 Đường Bạch Đằng, Tuy Phước",150000,unknown,quà tặng,13.85838,109.177541
Tranh nghệ thuật,Gốm Hoa Biển,Tuy Phước,"Số 101 Đường Lê Lợi, Tuy Phước",100000,kim loại,trang trí,13.860515,109.185474
Đồ thủ công mỹ nghệ,Gốm Hoa Biển,Phù Mỹ,"Số 198 Đường Bạch Đằng, Phù Mỹ",150000,vải,trang trí,14.182595,109.092049
Móc khóa,Quà Việt Quy Nhơn,Hoài Nhơn,"Số 135 Đường Lê Lợi, Hoài Nhơn",50000,nhựa,quà tặng,14.512094,109.042955
Bánh tráng nước dừa,Tre Việt Souvenir,An Nhơn,"Số 51 Đường Bạch Đằng, An Nhơn",50000,unknown,quà tặng,13.877558,109.09941
Chả ram tôm đất,Kiều Handmade Decor Shop,Tây Sơn,"Số 74 Đường Phan Bội Châu, Tây Sơn",50000,unknown,quà tặng,13.941836,108.951305
Nem chợ Huyện,Quy Nhơn Souvenir Gifts,Tây Sơn,"Số 147 Đường Nguyễn Huệ, Tây Sơn",50000,unknown,quà tặng,13.92833,108.957925
Đồ thủ công mỹ nghệ,Tre Việt Souvenir,Tây Sơn,"Số 23 Đường Lê Lợi, Tây Sơn",50000,giấy,trang trí,13.93021,108.941957
Mắm nhum Mỹ An,Quà Việt Quy Nhơn,Phù Mỹ,"Số 14 Đường Nguyễn Huệ, Phù Mỹ",100000,unknown,quà tặng,14.183835,109.09282
Đồng hồ lưu niệm,Gốm Hoa Biển,Phù Cát,"Số 18 Đường Phan Bội Châu, Phù Cát",100000,kim loại,trang trí,14.03127,109.040644
Tranh thêu tay,Quà Việt Quy Nhơn,Hoài Nhơn,"Số 54 Đường Trần Hưng Đạo, Hoài Nhơn",150000,vải,trang trí,14.50467,109.043899
Đồ thủ công mỹ nghệ,Bình Định Craft House,Hoài Nhơn,"Số 21 Đường Lê Lợi, Hoài Nhơn",100000,sứ,trang trí,14.498409,109.046783
Mắm nhum Mỹ An,Tre Việt Souvenir,Tuy Phước,"Số 133 Đường Trần Hưng Đạo, Tuy Phước",100000,unknown,quà tặng,13.844866,109.180735
Túi vải thêu,Gốm Hoa Biển,Vĩnh Thạnh,"Số 101 Đường Lê Lợi, Vĩnh Thạnh",50000,giấy,thời trang,14.279952,108.741109
Móc khóa,Quà Việt Quy Nhơn,Tuy Phước,"Số 123 Đường Nguyễn Huệ, Tuy Phước",100000,nhựa,quà tặng,13.855808,109.189874
Bánh ít lá gai,Bình Định Craft House,Hoài Ân,"Số 102 Đường Lê Lợi, Hoài Ân",100000,unknown,quà tặng,14.38371,108.890043
Nón lá,Bé Khôi Souvenir Shop,Tuy Phước,"Số 57 Đường Phan Bội Châu, Tuy Phước",200000,nhựa,thời trang,13.845585,109.181544
Gốm sứ,Gốm Hoa Biển,Phù Cát,"Số 70 Đường Trần Hưng Đạo, Phù Cát",150000,gỗ,trang trí,14.018873,109.049275
Chả ram tôm đất,Kiều Handmade Decor Shop,Phù Mỹ,"Số 149 Đường Bạch Đằng, Phù Mỹ",200000,unknown,quà tặng,14.177386,109.099257
Gốm sứ,Gốm Hoa Biển,Phù Cát,"Số 58 Đường Phan Bội Châu, Phù Cát",150000,gỗ,trang trí,14.025115,109.051608
Bánh tráng nước dừa,Miu Miu Gift World,Tây Sơn,"Số 154 Đường Lê Lợi, Tây Sơn",150000,unknown,quà tặng,13.941252,108.947798
Tranh nghệ thuật,Bình Định Craft House,Hoài Nhơn,"Số 136 Đường Lê Lợi, Hoài Nhơn",200000,lụa,trang trí,14.501558,109.050647
Chả ram tôm đất,Bình Định Craft House,Hoài Ân,"Số 86 Đường Phan Bội Châu, Hoài Ân",100000,unknown,quà tặng,14.383169,108.895545
Chả ram tôm đất,Kiều Handmade Decor Shop,Phù Cát,"Số 170 Đường Trần Hưng Đạo, Phù Cát",150000,unknown,quà tặng,14.032657,109.053064
Gốm sứ,Bé Khôi Souvenir Shop,Tây Sơn,"Số 73 Đường Trần Hưng Đạo, Tây Sơn",200000,lụa,trang trí,13.923692,108.959374
Đồ thủ công mỹ nghệ,Tre Việt Souvenir,Phù Cát,"Số 155 Đường Lê Lợi, Phù Cát",150000,vải,trang trí,14.029203,109.041048
Nem chợ Huyện,Bé Khôi Souvenir Shop,Quy Nhơn,"Số 163 Đường Lê Lợi, Quy Nhơn",150000,unknown,quà tặng,13.776828,109.215878
Bánh tráng nước dừa,Bé Khôi Souvenir Shop,Phù Mỹ,"Số 192 Đường Trần Hưng Đạo, Phù Mỹ",150000,unknown,quà tặng,14.188896,109.091435
Nón lá,Bình Định Craft House,Phù Cát,"Số 58 Đường Nguyễn Huệ, Phù Cát",200000,kim loại,thời trang,14.02804,109.053171
Bánh tráng nước dừa,Quà Việt Quy Nhơn,Phù Mỹ,"Số 177 Đường Trần Hưng Đạo, Phù Mỹ",200000,unknown,quà tặng,14.171766,109.106146
Bánh ít lá gai,Kiều Handmade Decor Shop,An Nhơn,"Số 106 Đường Trần Hưng Đạo, An Nhơn",150000,unknown,quà tặng,13.879582,109.10091
Móc khóa,Thương Phú Souvenir Shop,An Nhơn,"Số 30 Đường Phan Bội Châu, An Nhơn",150000,kim loại,quà tặng,13.886022,109.107322
Túi vải thêu,Tre Việt Souvenir,Tây Sơn,"Số 120 Đường Trần Hưng Đạo, Tây Sơn",150000,tre,thời trang,13.932191,108.940411
Móc khóa,Shop Diễm Thy,Tuy Phước,"Số 11 Đường Nguyễn Huệ, Tuy Phước",200000,sứ,quà tặng,13.846306,109.18674
Tranh nghệ thuật,Bình Định Craft House,An Nhơn,"Số 6 Đường Phan Bội Châu, An Nhơn",150000,giấy,trang trí,13.875036,109.099904
Gốm sứ,Thương Phú Souvenir Shop,An Nhơn,"Số 155 Đường Bạch Đằng, An Nhơn",200000,giấy,trang trí,13.875874,109.110553
Nem chợ Huyện,Miu Miu Gift World,An Nhơn,"Số 25 Đường Lê Lợi, An Nhơn",50000,unknown,quà tặng,13.887671,109.117948
Rượu Bàu Đá,Gốm Hoa Biển,Vĩnh Thạnh,"Số 64 Đường Trần Hưng Đạo, Vĩnh Thạnh",200000,unknown,quà tặng,14.267873,108.745009
Móc khóa,Bình Định Craft House,Hoài Nhơn,"Số 74 Đường Lê Lợi, Hoài Nhơn",200000,kim loại,quà tặng,14.513797,109.051584
Nem chợ Huyện,Bình Định Craft House,Hoài Nhơn,"Số 166 Đường Phan Bội Châu, Hoài Nhơn",100000,unknown,quà tặng,14.505897,109.048852
Đồng hồ lưu niệm,Thương Phú Souvenir Shop,Quy Nhơn,"Số 155 Đường Lê Lợi, Quy Nhơn",50000,tre,trang trí,13.789612,109.224347
Áo thun du lịch,Quà Việt Quy Nhơn,Tây Sơn,"Số 61 Đường Bạch Đằng, Tây Sơn",150000,kim loại,thời trang,13.939377,108.956915
Móc khóa,Tre Việt Souvenir,Tuy Phước,"Số 33 Đường Lê Lợi, Tuy Phước",150000,lụa,quà tặng,13.853448,109.188264
Đồ thủ công mỹ nghệ,Tre Việt Souvenir,Phù Mỹ,"Số 83 Đường Trần Hưng Đạo, Phù Mỹ",200000,giấy,trang trí,14.178704,109.09829
Bánh ít lá gai,Gốm Hoa Biển,Vĩnh Thạnh,"Số 39 Đường Trần Hưng Đạo, Vĩnh Thạnh",50000,unknown,quà tặng,14.269684,108.731157
Tranh thêu tay,Thương Phú Souvenir Shop,Quy Nhơn,"Số 28 Đường Trần Hưng Đạo, Quy Nhơn",200000,giấy,trang trí,13.783962,109.223073
Túi vải thêu,Tre Việt Souvenir,Tây Sơn,"Số 47 Đường Bạch Đằng, Tây Sơn",100000,kim loại,thời trang,13.9301,108.949533
Tranh nghệ thuật,Bé Khôi Souvenir Shop,Tuy Phước,"Số 87 Đường Phan Bội Châu, Tuy Phước",200000,giấy,trang trí,13.856577,109.176449
Tranh nghệ thuật,Shop Diễm Thy,Vĩnh Thạnh,"Số 103 Đường Phan Bội Châu, Vĩnh Thạnh",150000,tre,trang trí,14.269523,108.744627
Rượu Bàu Đá,Tre Việt Souvenir,An Nhơn,"Số 163 Đường Phan Bội Châu, An Nhơn",100000,unknown,quà tặng,13.888966,109.104269
Tranh thêu tay,Shop Diễm Thy,Vĩnh Thạnh,"Số 91 Đường Bạch Đằng, Vĩnh Thạnh",200000,kim loại,trang trí,14.266872,108.75074
Đồ thủ công mỹ nghệ,Kiều Handmade Decor Shop,Tây Sơn,"Số 34 Đường Lê Lợi, Tây Sơn",100000,tre,trang trí,13.937154,108.945717
Bánh tráng nước dừa,Gốm Hoa Biển,Vĩnh Thạnh,"Số 159 Đường Phan Bội Châu, Vĩnh Thạnh",150000,unknown,quà tặng,14.277004,108.741097
Tranh thêu tay,Quy Nhơn Souvenir Gifts,Phù Cát,"Số 193 Đường Trần Hưng Đạo, Phù Cát",100000,sứ,trang trí,14.03419,109.050698
