item_name,shop_name,city,address,price,material,category,lat,lon
None,travel_agency,Hà Giang,"Đường 19 Tháng 5, Nguyễn Trãi, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,travel_agency,22.8169939,104.9783681
Du lịch Tầm Nhìn Mở,travel_agency,Hà Giang,"Du lịch Tầm Nhìn Mở, Đường Quyết Thắng, Ngọc Hà, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,travel_agency,22.8368647,105.0123516
Shop thời trang Tiến Quý,clothes,Hà Giang,"315, Nguyễn Thái Học",None,None,clothes,22.831448,104.9875693
None,hairdresser,Hà Giang,"Phố Hải Thượng Lãn Ông, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,hairdresser,22.8220556,104.9861435
None,hairdresser,Hà Giang,"Đường Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,hairdresser,22.8177953,104.9873668
None,hairdresser,Hà Giang,"Đường Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,hairdresser,22.8177033,104.9876974
None,convenience,Hà Giang,"Đường Cù Chính Lan, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,convenience,22.8176408,104.9878424
None,convenience,Hà Giang,"Đường Lý Tự Trọng, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,convenience,22.8194913,104.9900718
T-132 store,shoes,Hà Giang,"T-132 store, Đường Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,shoes,22.8175906,104.9871971
None,hairdresser,Hà Giang,"Đường Nguyễn Thái Học, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,hairdresser,22.822056,104.985183
None,convenience,Hà Giang,"Đường Lý Tự Trọng, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,convenience,22.8205553,104.9903107
None,convenience,Hà Giang,"Phố Nguyễn Chí Thanh, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,convenience,22.8169434,104.9886948
None,convenience,Hà Giang,"Đường Nguyễn Văn Cừ, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,convenience,22.8254914,104.9873333
None,butcher,Hà Giang,"Small Meat Market, Đường Nguyễn Trãi, Nguyễn Trãi, Hà Giang, Phường Hà Giang 1, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,butcher,22.8206268,104.9817756
None,bakery,Hà Giang,"Đường Trần Phú, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,bakery,22.8229822,104.9876248
Duc Truyen,bakery,Hà Giang,Trần Phú,None,None,bakery,22.822955,104.9878561
king roti,bakery,Hà Giang,"king roti, Đường Trần Phú, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,bakery,22.8235412,104.9878286
None,clothes,Hà Giang,"Đường Nguyễn Thái Học, Minh Khai, Phường Hà Giang 2, Tỉnh Tuyên Quang, 20152, Việt Nam",None,None,clothes,22.8224609,104.9851681
