item_name,shop_name,city,address,price,category,lat,lon
Instant noodles,Unknown Shop,Ho Chi Minh City,,102000,convenience,10.8227031,106.7051972
Instant noodles,Circle K,Ho Chi Minh City,,494000,convenience,10.8009338,106.6607181
Soft drink,Unknown Shop,Ho Chi Minh City,,345000,convenience,10.7919934,106.6777825
Brake lever,Honda,Ho Chi Minh City,,360000,motorcycle,10.7659396,106.7067583
Phone case,Điện Thoại Di Động Viễn Kiều,Ho Chi Minh City,,466000,mobile_phone,10.7648823,106.7069329
,Đại Lý Bán Vé Máy Bay Việt Nam Airlines,Ho Chi Minh City,,200000,travel_agency,10.7899087,106.711216
Croissant,Bánh Mì Minh Châu,Ho Chi Minh City,"107, Đường Hoàng Diệu",296000,bakery,10.7635257,106.704099
,Thai Express,Ho Chi Minh City,,289000,travel_agency,10.7817958,106.7056762
Charger,Kỳ Hòa Mobifone,Ho Chi Minh City,,57000,mobile_phone,10.7623587,106.7021776
Phone case,Điện Thoại Lê Hùng,Ho Chi Minh City,,310000,mobile_phone,10.7630273,106.7034244
Hair dryer,Thời Trang Tóc Đình Khải,Ho Chi Minh City,,273000,hairdresser,10.7637866,106.7049938
,Du Lịch Hùng Vỹ,Ho Chi Minh City,,95000,travel_agency,10.7890383,106.7099613
Instant noodles,Cửa Hàng Gạo Chợ Đào,Ho Chi Minh City,,139000,convenience,10.7638846,106.7068074
,Du Lịch Miền Nam,Ho Chi Minh City,,480000,travel_agency,10.7644017,106.7070687
,Cửa Hàng Thương Mại Quốc Tế Mega,Ho Chi Minh City,,145000,kiosk,10.7777905,106.7065641
Ring,Tiệm Vàng Kim Đức Thịnh,Ho Chi Minh City,,213000,jewelry,10.7636908,106.7065303
Contact lens,Cửa Hàng Mắt Kính Ánh Sáng,Ho Chi Minh City,,170000,optician,10.7644994,106.7071214
Instant noodles,Cửa Hàng Thực Phẩm Vissan,Ho Chi Minh City,,69000,convenience,10.7639706,106.7058073
Lipstick,Cửa Hàng Beauty Salon Nhật,Ho Chi Minh City,,306000,beauty,10.7636951,106.7051853
T-shirt,Tiệm Áo Cưới Thiên Thảo,Ho Chi Minh City,,440000,clothes,10.7632741,106.7037179
Cooking oil,Focomart,Ho Chi Minh City,,121000,supermarket,10.7652697,106.7028692
,Cửa Hàng Gas Thanh Bình,Ho Chi Minh City,,54000,houseware,10.7644651,106.707101
Bed frame,Cửa Hàng Nệm Vạn Thành,Ho Chi Minh City,,393000,furniture,10.8030977,106.7077201
Snack pack,Cửa Hàng Tiện Lợi Shop&Go!,Ho Chi Minh City,,139000,supermarket,10.806477,106.6949172
Contact lens,Cửa Hàng Mắt Kính Việt Long,Ho Chi Minh City,,277000,optician,10.8036676,106.701372
Textbook,Nhà Sách Thiếu Nhi Fahasa,Ho Chi Minh City,"Bạch Đằng, Bình Thạnh, Ho Chi Minh City",245000,books,10.8029028,106.6993157
Pack of rice,Focomart,Ho Chi Minh City,,86000,supermarket,10.8036214,106.7012353
