province,shop_name,city,address,category,lat,lon
Quang Binh,G7 Mart,,,convenience,17.4798055,106.6199774
Quang Binh,Co.opmart QUẢNG TRỊ,,Nguyễn Trãi,,17.4617422,106.6177755
Quang Binh,Li Ti Shop,,,,17.4758616,106.6218408
Quang Binh,Bom Baby Shop,đồng Hới,18/8,supermarket,17.471,106.6199635
Quang Binh,Hang Sơn Đoòng - Hồ Khanh,,,,17.444152,106.293583
Quang Binh,Di tích phà Long Đại,,,,17.325973,106.625073
Quang Binh,D-Arts zone,,,,17.6107413,106.3085783
Quang Binh,,,,,17.5823607,106.2820798
Quang Binh,Souvenir Shops,,,,17.5302143,106.2281531
Quang Binh,Souvenir Shops,,,,17.5303156,106.2279196
Quang Binh,Jungle Boss Trekking Tours Headquarters,Phong Nha,,,17.5959149,106.2877654
Quang Binh,WinMart+,,,convenience,17.6105063,106.3086869
Quang Binh,PNJ,,,jewelry,17.469602,106.615171
Quang Binh,Children Statue,,,,17.4759998,106.6235837
Quang Binh,Dolphin statue,,,,17.4766302,106.6239072
Quang Binh,A statue,,,,17.4703869,106.6245318
Quang Binh,,,,clothes,17.4640682,106.6256092
Quang Binh,,,,clothes,17.4631049,106.625906
Quang Binh,,,,clothes,17.4630996,106.6257627
Quang Binh,An Phước,,Trần Hưng Đạo,clothes,17.4680229,106.60783
Quang Binh,CHỢ BA CANH,QUẢNG BÌNH,,,17.1375665,106.8077627
Quang Binh,Market,,,,17.7359559,105.9610141
Quang Binh,ĐIỂM CẮM TRẠI,,,,17.7802999,106.0889957
Quang Binh,,,,,17.7745124,106.0599164
Quang Binh,,,,,17.7764462,106.0649643
Quang Binh,,,,,16.9712823,105.9384586
Quang Binh,Tượng đài Mẹ Suốt,,,,17.4654591,106.6271418
Quang Binh,,,,,17.467321,106.6230056
Quang Binh,LE TAM WEDDING,,Chu Văn An,clothes,17.301504,106.7319294
Quang Binh,WinMart,,,supermarket,17.4655783,106.6262329
Quang Binh,,,,,17.3018584,105.7639749
Quang Binh,Chợ Võ Xá,,,,17.3845685,106.6534076
Quang Binh,Chợ Đồng Hới,,,,17.4645798,106.6275579
Quang Binh,BC WORKSHOP,THỊ XÃ BA ĐỒN,Hùng Vương,car_repair,17.754224,106.4276606
Quang Binh,Bottle fuel shop,,,,17.2205588,106.4493221
Quang Binh,Mini mart,,,convenience,17.6089718,106.3135886
Quang Binh,Mini mart,,,convenience,17.6095326,106.3129021
Quang Binh,WinMart,,,supermarket,17.6462233,106.2763388
Quang Tri,Chợ Đông Hà,,,,16.8239186,107.0992767
Quang Tri,Part of hcmc trail ,,,,16.500808,106.4867036
Quang Tri,Preserved part of Ho Chi Minh trail,,,,16.4973943,106.4862327
Quang Tri,Mường Thanh Quảng Trị Mart,,,supermarket,16.8187141,107.1049202
Quang Tri,Đèo Sa Mù,,,,16.80163,106.585001
Quang Tri,Cồn Tiên,,,,16.902163,106.999423
Quang Tri,Dốc Miếu,,,,16.9530376,107.071949
Quang Tri,Nhà May Trinh,,Lê Chương,,16.8208793,107.0983613
Quang Tri,PNJ,,,jewelry,16.81396,107.100583
Quang Tri,An Phước,,Hùng Vương,clothes,16.81711,107.099584
Quang Tri,CHỢ BA CANH,QUẢNG BÌNH,,,17.1375665,106.8077627
Quang Tri,Quán phở Sương,,Lê Duẩn,,16.7726044,107.1622713
Quang Tri,,,,,16.7542951,107.1886819
Quang Tri,,,,,16.754343,107.1884088
Quang Tri,,,,,16.7541367,107.1883572
Quang Tri,,,,,16.753881,107.1885696
Quang Tri,,,,,16.7534749,107.1891103
Quang Tri,,,,,16.7531162,107.1890549
Quang Tri,,,,,16.7530471,107.1886141
Quang Tri,,,,,16.7542527,107.1889372
Quang Tri,,,,,16.7541828,107.1891281
Quang Tri,,,,,16.7534678,107.1896526
Quang Tri,,,,,16.7532436,107.1896162
Quang Tri,,,,,16.7531968,107.1897856
Quang Tri,,,,,16.7536147,107.1900425
Quang Tri,,,,,16.7533013,107.1900413
Quang Tri,,,,,16.7530745,107.1894809
Quang Tri,,,,,16.7539095,107.1900652
Quang Tri,,,,,16.7528107,107.1893455
Quang Tri,WinMart+,,,convenience,16.6309215,106.7404966
Quang Tri,Artificial pond,,,,16.7017608,107.2463357
Quang Tri,,,,,16.6195122,106.5987524
Quang Tri,WinMart,,,supermarket,16.6131854,106.6046673
Quang Tri,HAI ÔNG BÉO MART,,Trần Hưng Đạo,supermarket,16.8227103,107.094175
Thua Thien Hue,Chợ,,,,16.4616905,107.5900942
Thua Thien Hue,Amart & More,,,,16.4693093,107.5945771
Thua Thien Hue,,,,gift,16.4700956,107.5745256
Thua Thien Hue,Chợ Phú Bài,,,,16.408181,107.6779
Thua Thien Hue,Chợ cầu Hai,,,,16.2703345,107.8802772
Thua Thien Hue,Coopmart,,,supermarket,16.4710959,107.5878041
Thua Thien Hue,K-Mart,,,supermarket,16.4674924,107.5938257
Thua Thien Hue,YoYo - Beer And Party,,Hai Bà Trưng,,16.45912,107.58907
Thua Thien Hue,Tre Thoi Dai,,Lý Thánh Tông,gift,16.2728525,107.8721543
Thua Thien Hue,AMart,Huế,Lê Lợi,,16.4698296,107.5931277
Thua Thien Hue,K-Mart,,,supermarket,16.4670931,107.5946677
Thua Thien Hue,Hải Yến,,Nguyễn Hữu Thoj,department_store,16.4607806,107.6021726
